04 26 04  15 00 00  0.494  0.512  0.479  0.495
04 26 04  15 15 00  0.507  0.505  0.476  0.496
04 26 04  15 30 00  0.525  0.498  0.480  0.501
04 26 04  15 45 00  0.499  0.495  0.497  0.497
04 26 04  16 00 00  0.507  0.493  0.506  0.502
04 26 04  16 15 00  0.494  0.508  0.506  0.503
04 26 04  16 30 00  0.508  0.513  0.511  0.511
04 26 04  16 45 00  0.520  0.539  0.506  0.522
04 26 04  17 00 00  0.498  0.528  0.519  0.515
04 26 04  17 15 00  0.524  0.518  0.504  0.515
04 26 04  17 30 00  0.535  0.514  0.530  0.526
04 26 04  17 45 00  0.511  0.539  0.516  0.522
04 26 04  18 00 00  0.524  0.545  0.539  0.536
04 26 04  18 15 00  0.504  0.522  0.534  0.520
04 26 04  18 30 00  0.544  0.508  0.559  0.537
04 26 04  18 45 00  0.545  0.543  0.548  0.545
04 26 04  19 00 00  0.556  0.534  0.539  0.543
04 26 04  19 15 00  0.546  0.519  0.540  0.535
04 26 04  19 30 00  0.558  0.554  0.572  0.561
04 26 04  19 45 00  0.538  0.548  0.576  0.554
04 26 04  20 00 00  0.570  0.549  0.565  0.561
04 26 04  20 15 00  0.557  0.524  0.571  0.551
04 26 04  20 30 00  0.560  0.516  0.563  0.546
04 26 04  20 45 00  0.547  0.549  0.543  0.546
04 26 04  21 00 00  0.564  0.559  0.557  0.560
04 26 04  21 15 00  0.556  0.557  0.587  0.567
04 26 04  21 30 00  0.545  0.555  0.571  0.557
04 26 04  21 45 00  0.602  0.546  0.560  0.569
04 26 04  22 00 00  0.567  0.560  0.578  0.568
04 26 04  22 15 00  0.593  0.552  0.572  0.572
04 26 04  22 30 00  0.587  0.556  0.587  0.577
04 26 04  22 45 00  0.585  0.591  0.580  0.585
04 26 04  23 00 00  0.615  0.579  0.590  0.595
04 26 04  23 15 00  0.609  0.556  0.600  0.588
04 26 04  23 30 00  0.610  0.553  0.578  0.580
04 26 04  23 45 00  0.580  0.589  0.604  0.591
04 27 04  00 00 00  0.591  0.580  0.588  0.586
04 27 04  00 15 00  0.598  0.573  0.591  0.587
04 27 04  00 30 00  0.602  0.576  0.591  0.590
04 27 04  00 45 00  0.597  0.557  0.597  0.584
04 27 04  01 00 00  0.615  0.586  0.599  0.600
